"geo","outgoingR","ACC","REF","TOTAL","accRate","outgoingT"
"DE",151218,102726,32547,135273,75.9397662504713,20285
"CH",72568,47393,18073,65466,72.3933033941283,21934
"SE",50202,33383,10454,43837,76.1525651846614,11910
"AT",43689,33901,8019,41920,80.8707061068702,8343
"FR",43092,28189,9003,37192,75.7931813293181,4618
"BE",28241,19315,6042,25357,76.1722601254092,6369
"NO",22058,12886,7320,20206,63.7731366920717,6547
"NL",19454,16755,3928,20683,81.0085577527438,5959
"IT",16365,2009,6866,8875,22.6366197183099,162
"UK",13770,9888,2489,12377,79.8901187686838,4302
"DK",10385,8700,1616,10316,84.3350135711516,1521
"FI",8087,6198,1946,8144,76.1051080550098,0
"EL",4777,3177,1584,4761,66.7296786389414,2652
"HU",3511,1647,606,2253,73.1025299600533,585
"IE",2094,1680,307,1987,84.5495722194263,719
"LU",2023,1556,392,1948,79.8767967145791,988
"SK",1228,797,404,1201,66.3613655287261,566
"PL",1007,721,237,958,75.2609603340292,295
"RO",765,494,234,728,67.8571428571429,121
"SI",618,359,213,572,62.7622377622378,150
"ES",549,451,82,533,84.6153846153846,75
"BG",546,189,347,536,35.2611940298507,136
"HR",465,145,305,450,32.2222222222222,6
"CZ",446,362,88,450,80.4444444444444,339
"IS",390,NA,51,NA,NA,89
"PT",296,251,26,277,90.6137184115523,102
"MT",183,96,88,184,52.1739130434783,22
"EE",158,134,21,155,86.4516129032258,90
"LT",119,58,48,106,54.7169811320755,36
"LI",96,97,63,160,60.625,38
"LV",87,64,20,84,76.1904761904762,47
"CY",39,20,17,37,54.0540540540541,6
